"calendar_date","month_number","year","month_name"
2023-01-01,1,2023,January
2023-01-11,1,2023,January
2023-01-21,1,2023,January
2023-02-10,2,2023,February
2023-02-20,2,2023,February
2023-03-20,3,2023,March
2023-03-30,3,2023,March
2023-04-01,4,2023,April
2023-04-10,4,2023,April
2023-04-20,4,2023,April
2023-05-10,5,2023,May
2023-05-20,5,2023,May
2023-06-10,6,2023,June
2023-06-20,6,2023,June
2023-07-01,7,2023,July
2023-07-11,7,2023,July
2023-07-21,7,2023,July
2023-08-10,8,2023,August
2023-08-20,8,2023,August
2023-09-10,9,2023,September
2023-09-20,9,2023,September
2023-10-01,10,2023,October
2023-10-10,10,2023,October
2023-10-20,10,2023,October
2023-11-10,11,2023,November
2023-11-20,11,2023,November
2023-12-10,12,2023,December
2023-12-20,12,2023,December
